locality_code,locality_name,upz_name,neighborhood_name,zone_number,cantidad_barrios
usaquen,Usaquén,Paseo De Los Libertadores,Canaima,5,1
usaquen,Usaquén,Paseo De Los Libertadores,La Floresta De La Sabana,5,1
usaquen,Usaquén,Paseo De Los Libertadores,Torca,5,1
usaquen,Usaquén,Verbenal,Alto De Serrezuela,5,1
usaquen,Usaquén,Verbenal,Balcones De Vista Hermosa,5,1
usaquen,Usaquén,Verbenal,Balmoral Norte,5,1
usaquen,Usaquén,Verbenal,Buenavista,5,1
usaquen,Usaquén,Verbenal,Chaparral,5,1
usaquen,Usaquén,Verbenal,El Codito,5,1
usaquen,Usaquén,Verbenal,El Refugio De San Antonio,5,1
usaquen,Usaquén,Verbenal,El Verbenal,5,1
usaquen,Usaquén,Verbenal,Horizontes,5,1
usaquen,Usaquén,Verbenal,La Estrellita,5,1
usaquen,Usaquén,Verbenal,La Frontera,5,1
usaquen,Usaquén,Verbenal,La Llanurita,5,1
usaquen,Usaquén,Verbenal,Los Consuelos,5,1
usaquen,Usaquén,Verbenal,Marantá,5,1
usaquen,Usaquén,Verbenal,Maturín,5,1
usaquen,Usaquén,Verbenal,Medellín,5,1
usaquen,Usaquén,Verbenal,Mirador Del Norte,5,1
usaquen,Usaquén,Verbenal,Nuevo Horizonte,5,1
usaquen,Usaquén,Verbenal,San Antonio Norte,5,2
usaquen,Usaquén,Verbenal,Santa Felisa,5,1
usaquen,Usaquén,Verbenal,Santandersito,5,1
usaquen,Usaquén,Verbenal,Tibabita,5,1
usaquen,Usaquén,Verbenal,Viña Del Mar,5,1
usaquen,Usaquén,La Uribe,Bosque De San Antonio,5,1
usaquen,Usaquén,La Uribe,Conjunto Camino Del Palmar,5,1
usaquen,Usaquén,La Uribe,El Pite,5,1
usaquen,Usaquén,La Uribe,El Redil,5,1
usaquen,Usaquén,La Uribe,La Cita,5,1
usaquen,Usaquén,La Uribe,La Granja Norte,5,1
usaquen,Usaquén,La Uribe,La Uribe,5,1
usaquen,Usaquén,La Uribe,Los Naranjos,5,2
usaquen,Usaquén,La Uribe,San Juan Bosco,5,1
usaquen,Usaquén,La Uribe,Urbanización Los Laureles,5,1
usaquen,Usaquén,San Cristóbal Norte,Ainsuca,5,1
usaquen,Usaquén,San Cristóbal Norte,Altablanca,5,1
usaquen,Usaquén,San Cristóbal Norte,Barrancas,5,1
usaquen,Usaquén,San Cristóbal Norte,California,5,1
usaquen,Usaquén,San Cristóbal Norte,Cerro Norte,5,1
usaquen,Usaquén,San Cristóbal Norte,Danubio,5,1
usaquen,Usaquén,San Cristóbal Norte,Don Bosco,5,1
usaquen,Usaquén,San Cristóbal Norte,La Perla Oriental,5,1
usaquen,Usaquén,San Cristóbal Norte,Las Areneras,5,1
usaquen,Usaquén,San Cristóbal Norte,Milán (Barrancas),5,1
usaquen,Usaquén,San Cristóbal Norte,San Cristóbal Norte,5,1
usaquen,Usaquén,San Cristóbal Norte,Santa Cecilia Norte Parte Alta,5,1
usaquen,Usaquén,San Cristóbal Norte,Santa Cecilia Parte Baja,5,1
usaquen,Usaquén,San Cristóbal Norte,Santa Teresa,5,1
usaquen,Usaquén,San Cristóbal Norte,Soratama,5,1
usaquen,Usaquén,San Cristóbal Norte,Torcoroma,5,2
usaquen,Usaquén,San Cristóbal Norte,Villa Nydia,5,1
usaquen,Usaquén,San Cristóbal Norte,Villa Oliva,5,1
usaquen,Usaquén,Toberín,El Toberín,5,1
usaquen,Usaquén,Toberín,Babilonia,5,1
usaquen,Usaquén,Toberín,Dardanelos,5,1
usaquen,Usaquén,Toberín,Estrella Del Norte,5,1
usaquen,Usaquén,Toberín,Guanoa,5,1
usaquen,Usaquén,Toberín,Jardín Norte,5,1
usaquen,Usaquén,Toberín,La Liberia,5,1
usaquen,Usaquén,Toberín,La Pradera Norte,5,1
usaquen,Usaquén,Toberín,Las Orquídeas,5,2
usaquen,Usaquén,Toberín,Pantanito,5,1
usaquen,Usaquén,Toberín,Santa Mónica,5,3
usaquen,Usaquén,Toberín,Villa Magdala,5,1
